Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     ,dollarindex
20140228,1241.79,1345.37,1240.5,1326.1,1424835,31.862,25.537,79.78
20140331,1332.08,1392.05,1282.34,1283.72,1295240,34.697,28.59,80.11
20140430,1284.36,1330.93,1268.35,1290.97,739307,37.549,31.577,79.53
20140530,1291.45,1315.41,1242.09,1249.41,901213,34.601,32.585,80.39
20140630,1249.9,1329.32,1240.7,1326.75,1076852,46.022,37.064,79.79
20140731,1326.86,1344.92,1280.45,1281.55,3100186,46.452,40.193,81.46
20140829,1282.83,1322.68,1268.8,1287.01,1610120,47.606,42.664,82.72
20140930,1286.18,1289.87,1204.18,1208,1474835,32.727,39.352,85.91
20141031,1208.79,1255.04,1161.15,1172.59,1135653,23.469,34.057,86.92
20141128,1172.1,1207.65,1131.35,1167.23,1852793,20.234,29.45,88.24
20141231,1155.189,1238.17,1142.67,1184,3552493,21.707,26.869,90.27
20150130,1183.76,1307.15,1167.45,1283.13,2651253,38.16,30.633,94.8737
20150227,1280.739,1285.4,1190.29,1212.92,3116940,38.171,33.146,95.25
20150331,1214.79,1223.19,1142.65,1183.22,2730869,33.543,33.278,98.4117
20150430,1183.74,1224.14,1175.16,1184.21,1625003,31.571,32.709,94.8313
20150529,1184.38,1232.29,1169.92,1190.58,455799,32.278,32.566,96.86
20150630,1190.93,1205.68,1162.75,1172.63,625845,29.346,31.492,95.5016
20150731,1172.54,1176.89,1077.36,1095.37,719947,22.176,28.387,97.2276
2015/08/31/00:00,1095.64,1169.88,1080.97,1135.01,727265,23.147,26.64,95.9885
2015/09/30/00:00,1134.92,1156.64,1099.26,1115.4,776000,20.949,24.743,96.2692
2015/10/30/00:00,1115.56,1191.48,1104.64,1141.63,1796310,24.264,24.584,96.8961
20151130,1141.61,1142.89,1052.65,1064.41,0,18.278,22.403,100.2351
20151231,1064.54,1088.83,1046.28,1061.13,0,14.846,19.884,98.7044
20160129,1061.54,1127.97,1061.39,1118.09,0,22.766,20.845,99.5558
20160229,1116.83,1263.21,1116.15,1238.44,0,44.704,28.798,98.2616
20160331,1238.3,1283.95,1208.31,1232.19,0,55.877,37.824,94.6281
20160429,1232.22,1296.63,1208.92,1292.82,0,70.077,48.575,93.0482
20160531,1291.22,1303.66,1199.76,1214.99,0,68.568,55.24,95.8412
20160630,1215.45,1358.23,1205.89,1321.53,0,75.124,61.868,95.9526
20160729,1321.51,1375.09,1310.64,1350.42,0,80.915,68.217,95.5534
20160831,1350.01,1367.23,1304.62,1308.64,0,80.54,72.324,95.9868
20160930,1308.5,1352.54,1302.4,1315.61,0,80.707,75.119,95.4426
20161031,1318.16,1319.55,1241.4,1276.79,0,74.484,74.907,98.3517
20161130,1276.77,1337.19,1170.82,1173.07,0,50.023,66.612,101.5732
20161230,1173.12,1187.94,1122.64,1151.22,0,37.122,56.782,102.3837
20170131,1150.33,1219.92,1145.97,1210.47,0,36.345,49.97,99.5669
20170228,1210.34,1263.83,1198.11,1248.16,0,40.804,46.914,101.3437
20170331,1248.11,1260.92,1194.91,1248.82,0,43.863,45.897,100.5451
20170428,1249.07,1295.38,1243.75,1267.77,0,49.021,46.939,99.0368
20170531,1268.07,1274.02,1214.19,1268.59,0,53.842,49.24,96.9672
20170630,1268.51,1295.94,1236.42,1241.29,0,54.329,50.936,95.6309
20170731,1241.57,1271,1204.77,1268.98,0,58.955,53.609,92.8091
20170831,1269.29,1325.89,1251.48,1320.69,0,71.784,59.667,93.5331
20170930,1321.88,1355.93,1314.66,1317.54,0,75.094,64.81,
